,Specs,Score
13716,the,4152.487357621502
9675,of,1871.978821535694
1326,and,1643.1910366858278
15326,to,1398.2693339724299
7688,is,1343.1461595221574
6086,god,1138.1655970257052
17484,you,1095.9872749020544
13504,that,1049.3661904043329
7076,in,898.3683997273691
16263,us,858.5999422287507
15115,this,850.3272819743514
16582,was,763.6205776012089
6848,i,683.4307258839774
9501,not,599.5963962144583
16552,war,564.3458789213466
7929,it,553.0383025705739
1111,all,522.4319353016378
354,a,504.14900967187145
15009,they,495.14487182248297
9909,of the,486.2916528278268
2892,by,469.7580471755316
3345,cia,448.3187343680018
6102,gold,440.4648813375585
10388,our,414.7179369311077
1799,are,391.3907342755427
5561,flu,382.68636052228385
14773,the us,381.44551756060406
2310,bankers,363.22233097663076
9454,no,358.77563475397875
8116,jesus,357.29242979502715
17189,with,346.9702795095446
17043,who,345.09915878800194
1966,as,338.9267746272041
16888,what,336.88646388364793
2343,be,336.72548924267153
16051,truth,332.95520640009795
16859,were,327.3627051096814
6129,government,325.3608084667909
6662,his,322.96701477555786
4879,elite,317.95580584511305
3529,com,313.83643654081106
5963,gates,292.73259755350796
3343,church,282.19948704738897
10084,on,276.1229754130331
17306,world,272.48387402304616
1217,aluminum,270.84534558162204
5614,for,270.09303927456267
2609,bible,268.156406017449
5145,evil,268.0637078372971
5853,from,264.7747740975567
15786,to the,259.591421816664
13657,that the,250.57566546524953
16067,turkey,249.01513433600863
8748,man,247.71448511664963
13875,the cia,247.4661562174038
1957,article,244.15444739508928
14871,their,236.1242534497921
1605,and the,235.51556386419122
9033,military,234.7673147740909
7981,it is,234.3495518917775
2531,being,232.57256740106902
10968,power,224.2598909717963
13236,syria,222.50621381973875
14746,the truth,221.31048462143016
17410,www,217.04605590746598
9404,never,214.87527881324516
6459,he,214.4926880934344
8875,me,213.95241781304654
12427,shall,210.27341501164423
13222,swine,207.2101418358409
11969,s,205.9220860339169
9287,my,203.57850820099242
7293,in the,201.85396339348875
6090,gods,200.9649805447471
3336,christ,198.79698613185488
