,Specs,Score
16789,the,4456.739679939618
11684,of,2236.337152550073
1573,and,1973.9238231089316
9203,is,1577.6641562978687
3969,cia,1376.9688848692565
18656,to,759.3027382128518
11958,of the,706.3064781808665
8491,in,680.7390760498253
3441,by,629.7730846849471
18410,this,619.3822276500777
16971,the cia,615.6287045089643
2164,are,596.4287953458679
5718,elite,512.2611670519075
6576,for,508.2929416769805
2352,as,501.0632902850617
15856,state,474.9826744132747
21025,with,454.03832695769574
9432,israel,408.44137395376134
9037,intelligence,357.47378077047404
4989,deep state,352.4072370145894
12859,pedophilia,339.1385386004817
11668,occult,329.0690206147481
1283,all,322.26150592468895
3494,by the,318.4293557317817
4988,deep,317.3733345888937
8217,human,307.50147446284575
12852,pedophile,295.4563024589496
20130,war,283.703224009901
4529,control,281.91885247750287
10885,military,277.5275974141111
3538,cabal,275.2295792079208
1902,and the,269.40935101234845
3160,blackmail,266.00433806267233
3924,children,264.27144649912077
21200,world,263.53588410346214
6301,fbi,259.27728287534643
20841,who,257.66908234671564
12425,operation,256.49003574846336
6875,from,255.17303101516922
9380,is the,247.31105463749225
17084,the deep state,242.24181328605832
14845,said,241.31005521320844
15267,sexual,240.88976574615293
2330,art,238.52091886017868
18080,their,236.06667136751554
20922,why,235.33225880727616
17083,the deep,229.6420233055914
19368,trafficking,228.95659675069754
19166,to the,226.94958318059525
9684,jewish,226.22818903983426
14520,rothschild,224.63258044554453
15082,secret,220.99284970417776
14937,satanic,213.56535151002544
9700,john,213.42171550003837
20956,will,213.2915460005075
8733,in the,211.9327238253566
7147,gold,211.689668419967
19928,vegas,209.01049102003228
14949,saudi,208.38978960396042
7088,global,206.541956884642
1441,american,199.9968333333333
2332,article,196.66711788366337
2805,be,196.20631190811054
8220,human trafficking,195.41445757478974
287,a,193.68112435512288
14580,russia,192.14799669786848
4422,conspiracy,191.08968822414155
20524,welch,188.6694351420436
13162,podesta,187.6705193436011
4182,com,185.15408415841586
11121,msm,184.45839143773537
19666,under,181.03425900943174
15917,steele,180.97656130997717
11550,note,179.81793200804458
19821,us,178.52091513030618
10909,mind control,175.89246236267462
7183,government,174.69445435802862
16222,symbolism,171.54447959916965
18243,these,165.1700400003236
9435,israeli,163.48043119529342
17138,the elite,163.48043119529342
12948,perry,162.97376038007025
9419,isis,162.66089320832765
5007,defense,162.4685215156131
12524,organized,162.22389994681288
5616,east,159.96051636413645
3067,below,159.45363036303632
2527,at,155.33685472216735
8094,hollywood,154.72347613908312
12851,pedogate,154.4529755411982
10641,massive,153.73079414191423
6908,from the,153.7025079663139
4680,cover,152.7572614107884
16232,system,150.7940631849445
6684,for the,150.71888894992634
3970,cia and,150.09295070132015
2316,arsenal,150.02487623762374
9114,into,149.6926240597033
3254,boys,148.8490202145215
17556,the occult,147.92100628332065
10578,many,147.90141807968223
8119,hoover,146.54753493545562
6083,exposed,146.37804803207592
10908,mind,144.71955264302582
6327,fed,142.64250721947195
3909,child,141.30489972074133
9204,is a,140.69311909639242
8922,industry,140.5070911133233
17203,the fed,138.47803217821783
13337,potus,138.44616336633663
17197,the fbi,137.19490733598857
4754,criminal,137.1620517387105
11669,occult elite,136.99398003659064
7903,high,135.7958088038534
