,Specs,Score
13974,the,7565.301270769916
9854,of,3491.7627270521584
15629,to,3194.4990428564797
1347,and,2641.503990385357
7755,is,2280.101085780462
13765,that,1902.3514391123301
15401,this,1528.2469293794038
7157,in,1280.2453175194712
16805,was,1242.502891327224
17786,you,1120.4945658083002
10055,of the,1079.2796758744184
16547,us,981.3939461282914
6094,god,930.3953912943476
7984,it,911.65731079724
3064,by,881.3798359802253
16971,we,878.6753924443678
1106,all,865.3478513700209
1845,are,857.7952040265758
333,a,850.227777257496
10557,our,778.5931262519761
6137,government,730.1133379196688
16784,war,722.8698529411768
9676,not,704.6230458281472
6930,i,657.8701337623761
3453,cia,639.152474308152
17629,world,613.8953189367268
15279,they,606.8100764262812
2023,as,580.5019135043567
2360,bankers,570.5479145103789
17125,were,560.840430189505
2397,be,553.8888041783066
5650,for,553.4726773558463
16055,to the,541.7792615292335
10232,on,532.5204002267426
17342,who,522.1532291255692
2694,bigfoot,507.9744808805516
9812,obama,492.4849778621126
12114,s,488.2368455010529
17169,what,473.42275678513977
9629,no,457.3491263440859
2585,being,442.91679791620425
15124,their,440.8616308732423
13916,that the,438.09353824449386
2356,bank,428.88813166996385
9195,military,424.22463161171737
17418,will,417.6486692659773
3089,by the,398.3821580917952
5884,from,385.03685451696333
7975,israel,380.86262346129524
17664,would,376.8876231204253
6180,greece,374.92994231876685
6396,have,373.8544202792781
7660,intelligence,373.03456409445494
17485,with,367.7436438579743
16316,trump,359.0760359919203
16339,turkey,357.2654880716139
8042,it is,357.2140059220947
16325,truth,356.0057404236282
14140,the cia,351.55463314358
3527,clinton,340.6554079696395
15037,the us,334.47698713894164
17385,why,332.55777447276495
11150,power,323.29412676981457
15264,these,323.22159864492545
12866,so,316.9007283867596
9445,my,313.23372391296954
3451,church,311.3713374491096
2013,article,310.26860954972375
10345,one,307.10240123783217
1040,against,305.62747638781354
1234,america,305.54763541695314
6111,gold,302.3983062759154
9773,now,300.97533233632447
10820,people,296.18044928689466
1619,and the,289.7946110691553
9101,media,289.63588446131143
3444,christ,287.6105453650995
6721,his,287.3999288605264
6100,going,281.1762749662553
13514,t,279.530343289596
4546,do,276.8403281616252
13167,states,276.322570924192
15206,there,275.51353018335936
7692,into,274.751069922051
321,9 11,274.4245763493569
8206,jesus,272.6413805991604
6327,has,268.4877026735164
9833,occult,267.6624842760591
17288,which,266.1081343934143
12317,saudi,264.6006032659335
3338,central,263.58968158467167
8585,life,262.7053563041314
2363,banks,260.3390620158001
13502,syria,256.66667647303984
12311,satan,256.64516129032256
6240,had,254.92722929672837
4777,earth,254.75660047111174
1259,an,252.83973852661012
7375,in the,252.45397906646383
5107,evil,251.08800808140356
1241,american,249.1160997871226
9277,money,248.78346282824657
11077,political,248.74417035631456
10570,out,248.6410028426131
6648,here,247.99100924128098
10507,order,247.2267056278515
15032,the united states,245.4575850069731
16455,united states,242.58235186608684
8335,know,242.14264305800054
15674,to be,241.88208342480036
9599,news,231.89427261227073
6484,he,230.5307626976453
8209,jewish,226.62497222079764
11212,president,225.47745977943725
6181,greek,225.2316741679343
15029,the united,224.8703662532078
3863,control,224.67574076777112
51,11,224.23975846902906
9440,must,224.15373698678093
15144,them,222.56659049778585
6856,how,219.47842494023305
6695,hillary,216.07532831081974
16452,united,215.45876102243557
12447,security,212.75678410858677
8257,just,211.04132827324486
11996,right,210.9006376516183
5855,free,209.4926649119586
15184,then,207.24458154313035
4410,did,206.43645522725217
15016,the truth,206.11935736875398
4660,down,205.44392338680788
7024,i will,205.17015764122033
7925,is the,202.87833138772325
7977,israeli,202.02000660011547
5364,fbi,201.34134514020658
15104,the world,200.9456245461148
2681,bible,200.5509973185094
5774,foreign,200.081673992586
17791,you are,196.13647654489296
16974,we are,195.82810581538124
15429,this is,194.51973454332008
17641,world order,193.76899509803923
2522,been,192.98630981739387
3589,com,192.8655506432703
16501,up,188.5400403922823
14234,the devil,187.46497115938342
1088,al,186.96399337723705
6618,hell,186.8651417815475
7757,is a,186.73175806712985
12434,secret,185.46433340361236
5601,foot,184.67872322033162
3909,corporate,183.72795698924733
13077,spiritual,183.00948766603415
9491,nation,181.54105645566744
9590,new world,180.9254318104413
5859,freedom,180.57249096075606
2361,banking,179.63579163008492
8450,law,179.557953826692
5732,for the,177.61412278203244
6124,google,176.94884811257396
9948,of god,175.7931222198028
2225,attack,175.25949547481278
4799,economic,174.94182417297105
13845,that is,174.56973434535107
3800,conspiracy,173.87539861374654
6892,human,172.58147843018287
10663,own,171.92213110269228
6105,going to,171.31435800126502
9576,never,170.39270409142273
3445,christian,169.78766526280063
1224,am,169.67529958801305
5275,fact,168.36771382388082
13151,state,166.40649756213782
8210,jews,165.964846561539
6068,global,165.1285277258889
9750,nothing,165.0944336656978
9591,new world order,164.21330573285036
4396,devil,164.00525470734198
1049,agenda,163.57596091264926
17879,you will,161.29667505960202
3911,corporations,161.25007666800835
7584,information,160.5647342691449
17590,words,160.42638785913854
10398,only,160.37130361432625
14253,the earth,159.58148230829335
5073,every,158.91930804867513
10628,over,158.56844132496335
12108,russia,158.18008519245132
5311,false,157.69639468690707
4192,death,157.62181987490337
1035,again,157.60025667115843
12111,russian,157.27140067011987
15282,they are,157.14860001247206
7107,illuminati,156.04736875395318
6039,giants,155.69376401587027
320,9,154.48105158329636
10136,of this,154.14572939425915
4009,created,153.11522837213033
14078,the bible,152.86785789584653
14716,the people,152.75207522317208
811,about,151.5929441177772
17526,with the,150.91884909673684
5038,even,150.89583848666607
9583,new,150.84263140241552
12921,soldiers,150.76618174151383
3566,collapse,150.2499407020873
5218,explosion,149.98899713953952
17069,web,149.7853679106051
14641,the new,148.50922312524116
11414,public,148.2378337797119
8556,let,148.19389298094075
8580,libya,147.80237824161924
8784,lord,147.80237824161924
4360,destruction,146.36847678542242
2231,attacks,145.97528861335226
8952,many,145.96277848056783
5500,fire,144.98192506604158
15228,there is,144.70751122550587
4210,december,144.65148872642035
6696,hillary clinton,144.52118912080962
6902,humanity,143.85226913345983
2189,at the,143.78690315299943
11257,prince,143.6164501532623
4682,dr,143.1613690788227
4047,crimes,142.89580755163215
2150,at,142.41050370394194
2976,but,142.3254135245338
12312,satanic,141.24038056082648
3290,catholic,140.60735437870164
14397,the government,140.37600350313824
13069,spider,140.36582404559897
5905,from the,140.1708749251771
15574,time,139.77159063514026
4622,don t,138.52004451744574
2486,because,138.25338374963394
16949,way,137.92992473698564
10767,party,137.2871017212075
7920,is that,136.55461337760914
6074,go,136.33817272557667
16577,used,133.91563044676434
9060,me,132.38851992409866
17923,yourself,132.08212176283507
11801,report,131.46662437560403
4048,criminal,131.4134514020662
12821,skin,129.77235638620175
12449,see,129.7536677928449
17058,weapons,129.2913345983555
14642,the new world,128.32258064516128
3959,country,128.23123471824937
4621,don,128.01954580065026
3927,could,127.40011737262446
6760,history,127.16250835391976
10588,out of,126.34876660341557
16392,u s,125.62570903814343
4851,election,124.5522284444856
8172,its,124.34423885696401
12282,same,124.13610056925998
5394,feet,123.93256738783265
9500,nations,123.4920350457985
17226,when,123.40285632119301
1751,any,123.3260501933261
8582,lie,123.01408045163181
11158,powerful,122.98826340572072
2551,before,122.88755077826035
4866,elite,122.79412223047234
3910,corporation,122.52139706965423
13074,spirit,122.52139706965423
