,Specs,Score
14750,the,5404.476537862883
10337,of,2411.3518827004204
1418,and,2142.622448423207
8196,is,1680.586607751684
16504,to,1544.894261522275
6416,god,1051.1573620489664
14526,that,968.352857415573
3536,cia,950.4644072994096
7560,in,896.9691863417111
16269,this,853.0619582388484
17501,us,793.0023900396175
10586,of the,744.5165901716808
18810,you,663.0117972776706
17805,was,599.7305122586038
3067,by,577.8959747853401
10146,not,572.345636047697
1919,are,537.2035333069598
336,a,523.7278913307908
18488,with,517.8953231558194
5143,elite,495.6227082726656
6442,gold,490.4070501877774
1180,all,486.6337077251709
14925,the cia,464.2190894089409
2107,as,459.8908975415467
17772,war,459.44807990732846
16139,they,450.73686444731436
8450,it,450.6294518401571
15900,the us,444.78154507378525
11105,our,432.79062431687436
18328,who,416.80921725893523
13894,state,399.6778088022217
6474,government,396.0632326329257
2493,be,387.82998065401205
5933,for,375.47982098748776
2455,bankers,363.6101485148515
3733,com,346.65387580844776
1705,and the,343.25125303242487
7102,his,342.8378151513782
8652,jesus,335.2950276645312
16988,to the,327.77090423886136
18622,world,322.8980125668554
6170,from,317.3003261492468
8439,israel,315.78471534653465
7313,i,315.6734638607295
4047,control,297.1812974742596
4445,deep state,294.44194771039605
10093,no,282.869247741765
3534,church,273.67639232673264
18168,what,273.1272351957124
10770,on,267.2667673898429
17287,turkey,267.04942398445456
17967,we,261.08930751288347
15986,their,260.6109318620758
18132,were,255.9830587777226
18410,will,254.9199624310258
2771,bible,253.81796617161714
9665,mind,253.351897689769
18732,www,247.57301980198028
14246,syrian,245.4951057605761
6752,have,244.1503653918711
7791,in the,241.9846517621946
3102,by the,240.3653237550542
8505,it is,238.2352008758569
4444,deep,237.89490365776862
9648,military,237.89490365776862
2675,being,233.10094554684224
9913,my,223.92192437328845
14245,syria,223.53637266448425
11767,power,221.81300805177798
13363,shall,218.46086337149342
10316,occult,216.29128406792293
15022,the deep state,214.53123724099214
5423,evil,214.34879105288582
2094,article,211.70154601525732
6834,he,211.3803935718347
2092,art,210.66703220955011
7022,here,203.86302795979205
6422,gods,203.237937786316
14691,that the,203.0283561689502
9394,many,199.73447965200933
10275,nuclear,197.2709706281138
13199,secret,191.659461131924
13616,so,191.61844835091551
15021,the deep,190.70529745282218
10449,of god,190.37846534653468
10893,one,188.76774268977525
10245,now,187.44999019344348
13052,satanic,184.59488448844886
14858,the bible,183.370416545331
12823,s,182.07459084491583
15076,the elite,180.97656130997717
2458,banks,178.89068914513405
3527,christ,176.21635210396042
1308,america,176.17658297841984
7071,him,174.7319061101316
3939,consciousness,172.78723614548954
4769,do,172.06459206792022
6063,foreign,171.22316558986412
2612,been,170.5407764105565
9667,mind control,170.1182704207921
16000,them,168.7328800485247
8081,intelligence,168.41588878167482
18379,why,166.473439166032
11211,own,165.37738004569695
2456,banking,163.84990817630154
9018,let,158.36803164012053
9743,money,157.81190498857578
17804,wars,157.69845012518496
11128,out,157.30375085775913
18530,with the,156.96026736266714
12817,russia,156.37443453397069
15875,the truth,154.78467942948143
6315,geoengineering,154.7786221687237
17269,truth,152.62590192842816
16142,they are,152.1779608777352
5636,false flag,151.07422815761305
6205,from the,150.71847938456688
7167,hollywood,150.64726871196294
15036,the devil,150.09295070132015
3364,central,148.6643265225969
18814,you are,147.7589165166517
6988,hell,147.7184534859736
5837,flag,145.19683894995003
17590,vatican,145.0637376237624
13217,see,142.77971788142673
4614,devil,141.98361455863898
8667,john,141.4369029772696
8385,is the,141.2882364788942
8197,is a,138.22392300073005
4277,cult,137.90370599559958
6018,for the,137.82075397585584
2781,bigfoot,137.31966897415882
18278,which,137.11844337109446
2451,bank,136.38196163366337
13970,stone,135.9254396593506
16557,to be,135.52504265666897
18677,would,135.05699295941008
10672,of this,134.93320484909935
1105,agenda,134.1805280528053
8622,its,132.95224434104193
9949,nation,132.14074989781088
10033,never,132.10653205722815
9225,lord,131.39070235148515
1334,an,131.32003274756516
16126,these,131.21288309510737
4952,drug,131.14686468646866
5644,family,130.1967596759676
12273,reality,129.92079207920793
17566,vaccines,129.9154721442294
12778,rothschild,128.30039230338127
13051,satan,127.53353096937605
9022,let s,127.45983410381481
16292,this is,127.22323865451065
9360,man,126.38706683168321
16040,then,125.85918370062818
11373,pedophilia,125.51612673936312
18063,weapons,124.97694925742576
10949,only,123.35971410998623
15494,the occult,122.74755288028805
3528,christian,122.2497635999555
1315,american,121.96278024793223
9053,life,120.83216999584577
17970,we are,120.29461499139046
3498,children,119.79950542359282
12790,roy,119.55146452145215
16452,time,118.7364413544605
5352,even,117.9444818123117
5594,fact,117.08518821221745
6676,has,115.61493972282162
8126,into,114.73559033032126
13823,spirit,113.58054471312519
7434,if,113.48719968462282
8709,just,113.41632088129923
6147,free,112.97222745372365
7282,humanity,112.83615021658417
1417,ancient,112.28522285822334
16069,there,111.78604303296365
14129,summary,110.17230816831683
18932,zionist,110.17230816831683
17605,venezuela,109.85392172029702
4395,death,109.60412300354125
17247,true,109.32761231541244
1090,against,109.27922066103672
11632,please,109.11578183680437
10317,occult elite,108.61667112657211
2896,brain,108.59441918029015
6871,he is,108.58934659090914
18897,you will,108.2420309104081
6973,heaven,107.95334158415845
17618,very,107.63541346676436
8320,is not,107.6286775586526
5389,every,106.9690252802854
3130,cabal,106.84160666066609
6057,forces,106.13739814246912
4053,controlled,106.05819561735588
18073,web,105.81774170064067
14125,suicide,105.4846022796724
6419,god is,105.46453004675467
7264,http,105.08717624479839
17565,vaccine,105.08717624479839
15912,the vatican,104.50524551001614
16091,there is,104.22003378734854
13027,same,103.39328633239714
4623,did,103.01481388042652
14614,that is,102.97446341380714
4572,destroy,102.28323301080107
18227,when,102.04795419300967
4334,dark,100.7604070523578
16226,things,100.18913405012378
3606,climate,99.5718165703033
9870,msm,99.16097299068143
6064,foreign policy,98.89960421823433
2981,bush,98.36014851485152
11179,over,98.17339400454648
6515,great,97.58695706254046
8793,know,97.54232940052682
16273,this article,97.52079207920794
18583,word,97.26010779510594
15916,the video,97.10549588074481
5167,emissions,97.01619664634146
4049,control of,96.61450015969342
5337,etc,96.54142289228922
15396,the masses,96.2962561881188
4810,does,96.19532257698249
9490,me,96.04308937650522
6417,god and,96.00960096009601
2990,but,94.84505573148498
6429,going,94.65290990168934
6252,fusion,94.25778671617164
9623,middle east,94.19702970297031
5897,folks,94.14573867489489
17651,video,93.7886145726642
1084,again,93.60164031054444
15961,the world,93.05692415056487
8656,jewish,93.04527640264027
13554,sins,92.85853380259903
2204,assassination,92.83002179294017
17484,upon,92.82411017833714
9315,mainstream,92.57704207920793
9839,mother,92.127777106979
6592,had,91.89957960431275
3537,cia and,91.53125
13875,star,91.47471685758693
11371,pedophile,91.26375710487716
17505,us and,91.24752475247524
13676,soldiers,91.22546410891093
15375,the lord,91.18099492876115
14418,ted,90.42586489753629
10838,on the,90.21967314321638
7265,http www,90.05577042079209
8440,israeli,90.05577042079209
18415,will be,89.87479317188476
14239,symbolism,89.70780102203771
2177,as we,88.86345099353687
3237,cannot,88.6410905089378
14924,the church,88.31059276636623
16361,those,87.40695689094458
4953,drugs,87.10410319878144
11005,or,86.98004607547517
11049,order,86.35015204042664
9444,masses,86.3022223417994
2864,books,86.01950574046765
13535,sin,85.92332534034655
13850,spy,85.89798802515386
2938,brother,85.20783293607138
12404,regime,85.18274155001708
12288,reason,84.39317129137805
3709,collapse,83.52602496165112
11370,pedogate,83.407476954592
3511,china,83.09944905780904
3559,civilization,83.02054086005617
6421,god s,82.96358226248158
5206,end,82.81237623762377
10221,nothing,82.37902995751702
14136,sun,82.37902995751702
3315,catholic,82.22982117923333
4287,currency,81.97571163366338
823,about,81.70446703258607
6919,he was,81.25331194129348
867,abraham,80.71140864086408
13356,sexual,80.47940070449353
8121,intervention,80.01238296383987
9388,mankind,80.01238296383987
8008,information,80.01218685984978
18310,while,79.85297838266442
7230,how,79.60276536857454
15713,the same,79.54275118233475
16372,those who,79.0866971312516
17372,under,78.6032450211933
8185,iran,78.52820823455588
4224,creation,78.39050048297511
9872,much,78.23501285224677
4100,corporations,78.19888075764098
12459,religion,78.19888075764098
17527,usa,78.19888075764098
1812,another,77.798587162087
12741,rituals,77.75975006037189
8653,jesus christ,77.6018042233911
5919,foot,77.53821550769433
8284,is in,77.19122060643565
13719,something,77.14235767326734
2322,attack,77.0299904183967
15901,the us and,76.86360464503899
2579,because,76.50070193586527
17252,truly,76.36241500656091
3161,came,75.79328026552655
6286,gates,75.41101641809752
15735,the secret,75.24752475247524
18187,what is,75.19183300541592
7169,holy,74.76702506188118
8187,iraq,74.66376557010541
12749,robert,74.28387069476177
1830,any,74.17341012947449
15703,the rothschild,73.96050314166033
15872,the true,73.8592267429868
11078,other,73.67758533847577
321,9 11,73.29714180657196
7271,human,73.10661321994682
13591,slavery,72.81559405940595
